매물명,감정가,추천입찰가,월 수익,lat,lon,구분,사건번호,추천근거,월 예상수익,명도 난이도,교통/인프라,초·중·고 학군 및 학원가,커뮤니티/맘카페 동향,세금 납기일,진행 단계 및 피드백,추천가,월수익,학군/교통,세금 납기
송파 길동 우성아파트 (AI 스캔 13:31),"9억 2,000만원","7억 8,000만원",,37.538,127.14,🟢 서울권역(아파트/임대),2026타경9999,[AI 실시간 포착] 1회 유찰 급매물 포착. 호가 대비 20% 저렴.,월 180만원,하,5호선 길동역 5분,"길동초, 강동 명문학원가",신규 급매물 발생 알림 핫함,재산세 7월/9월,신규 권리분석 완료 (안전),정보없음,정보없음,정보없음,정보없음
송파 길동 우성아파트 (AI 스캔 13:27),"9억 2,000만원","7억 8,000만원",,37.538,127.14,🟢 서울권역(아파트/임대),2026타경9999,[AI 실시간 포착] 1회 유찰 급매물 포착. 호가 대비 20% 저렴.,월 180만원,하,5호선 길동역 5분,"길동초, 강동 명문학원가",신규 급매물 발생 알림 핫함,재산세 7월/9월,신규 권리분석 완료 (안전),정보없음,정보없음,정보없음,정보없음
관악 봉천벽산블루밍 105동,"8억 5,000만원","7억 2,000만원",,37.485,126.941,🟢 서울권역(아파트/임대),2025타경10123,KB시세 대비 안전마진 확보 타점. 2호선 역세권 배후수요 탄탄.,월 160만원 (보증금 5천 기준),하,"봉천역 도보 10분, 서부선 호재","서울구암초(초품아), 단지 내 소규모 학원가",구암초 초품아 단지 선호도 최상.,"재산세: 1기분(7/16~31), 2기분(9/16~30)",경매 진행중 / 대항력 없는 후순위,정보없음,정보없음,정보없음,정보없음
노원 상계주공 3단지 302동,"6억 2,000만원","5억 1,000만원",,37.654,127.06,🟢 서울권역(아파트/임대),2025타경10442,창동·노원역 더블역세권 입지. 규제 완화 수혜지로 임대수요 증가세.,월 110만원 (보증금 3천 기준),하,"4, 7호선 노원역 도보 5분","온곡중, 상계고 / 중계동 대형 학원가 셔틀",학군지 셔틀버스 접근성 우수 후기 많음.,"재산세: 7/16~31, 9/16~30",신건 가동 중,정보없음,정보없음,정보없음,정보없음
강서 가양도시개발 9단지,"7억 1,000만원","5억 9,000만원",,37.561,126.853,🟢 서울권역(아파트/임대),2025타경20991,9호선 급행 역세권. 마곡 마이스 개발 배후 임대수요 풍부.,월 140만원 (보증금 4천 기준),중,9호선 가양역 도보 3분,"가양초, 마포고 / 목동 학원가 차량 15분","한강공원 접근성 우수, 직장인 선호도 1위.","재산세: 7/16~31, 9/16~30",체납 관리비 분쟁 여부 확인 필수,정보없음,정보없음,정보없음,정보없음
성북 길음뉴타운 래미안 8단지,"10억 5,000만원","8억 9,000만원",,37.604,127.018,🟢 서울권역(아파트/임대),2026타경1102,길음역 대단지 프리미엄. 특례 대출 완화 구간.,월 210만원 (보증금 1억 기준),하,4호선 길음역 도보 7분,"서울길원초, 대일외고 / 길음뉴타운 중심 학원가",조경 및 영유아 커뮤니티 만족도 압도적.,"재산세: 7/16~31, 9/16~30",소유주 직접 거주로 명도 용이,정보없음,정보없음,정보없음,정보없음
대전 둔산 은하수아파트,"5억 4,000만원","4억 6,000만원",,36.353,127.382,🔵 지방권역(아파트/임대),2025타경7890,지방권 최상위 학군지. 전세가율 고정으로 임대수익 안전망 확보.,월 120만원 (보증금 3천 기준),하,대전 1호선 시청역 역세권,"둔산초, 충남고 / 둔산동 명문 학원가",학원가 독점으로 탄탄한 임차 수요 존재.,"재산세: 7/16~31, 9/16~30",하자 없음 검증 완료,정보없음,정보없음,정보없음,정보없음
천안 불당 지웰더샵,"8억 2,000만원","6억 8,000만원",,36.815,127.106,🔵 지방권역(아파트/임대),2025타경9981,천안의 강남 불당 핵심 입지. 실시간 조회수 상위권 고정 매물.,월 180만원 (보증금 5천 기준),중,KTX 천안아산역 차량 5분,"천안불당초, 신불당 학원가 도보 3분",주변 인프라 및 마트 동선 최적화 극찬.,"재산세: 7/16~31, 9/16~30",유찰 1회로 최저가 타점 진입,정보없음,정보없음,정보없음,정보없음
부산 해운대 좌동 SKVIEW,"6억 7,000만원","5억 4,000만원",,35.168,129.175,🔵 지방권역(아파트/임대),2026타경3044,그린시티 재정비 호재. 임대 회전율 최고조 단지.,월 130만원 (보증금 3천 기준),하,2호선 장산역 도보 역세권,"좌동초, 해운대 메디컬/학원가 밀집",학군 만족도 매우 안정적.,"재산세: 7/16~31, 9/16~30",소액임차 최우선변제 명도 저항 소멸,정보없음,정보없음,정보없음,정보없음
대구 수성구 범어 래미안,"9억 8,000만원","7억 9,000만원",,35.861,128.628,🔵 지방권역(아파트/임대),2026타경5582,수성구 핵심 단지. 시장강도 반등 시그널 포착 타점.,월 200만원 (보증금 8천 기준),상,2호선 범어역 및 대구법원 인근,"대구경동초, 범어동 전국구 학원가 밀집","이사철 수요 폭발, 임대 걱정 제로.","재산세: 7/16~31, 종부세 대상",가등기 있으나 안전 소멸 확인,정보없음,정보없음,정보없음,정보없음
용산 한남3구역 빌라,"12억 0,000만원","9억 8,000만원",,37.532,127.0,🏗️ 재개발 예정/진행,2026타경8811,용산 핵심 재개발 대장주. 프리미엄 결합 감안해도 입주권 가치 압도적.,월 80만원 (이주 전),상,"한남역 도보권, 강변북로 진입","한남초 인접, 신사/압구정 라이딩 연계",대장주 입지 굳히기.,종부세: 12/1~15 부과,관리처분인가 완료 / 실시간 홀딩,정보없음,정보없음,정보없음,정보없음
성수 전략정비구역 2지구 단독,"18억 5,000만원","15억 2,000만원",,37.538,127.054,🏗️ 재개발 예정/진행,2026타경9921,한강뷰 아파트 보장. 조합원 지위 승계 조건 완전 충족 검증.,월 150만원,상,"2호선 성수역, 성수대교 직결","경동초, 성수동 아카데미 다수",영앤리치 임차 수요 최고조.,"재산세: 7/16~31, 9/16~30",건축심의 준비중 트래킹 완료,정보없음,정보없음,정보없음,정보없음
관악 신림1구역 빌라,"5억 5,000만원","4억 6,000만원",,37.472,126.931,🏗️ 재개발 예정/진행,2026타경2244,신통기획 최속 진행 구역. 서남권 최대 뉴타운 매물.,월 60만원,하,신림선 벤처타운역 역세권,"서울신우초, 신림역 보습학원 연계",여의도 직주근접 배후지로 선호도 상승세.,"재산세: 7/16~31, 9/16~30",사업시행인가 준비 단계 트래킹 중,정보없음,정보없음,정보없음,정보없음
동대문 이문4구역 평지빌라,"6억 3,000만원","5억 2,000만원",,37.596,127.062,🏗️ 재개발 예정/진행,2026타경7711,이문휘경뉴타운 평지 입지 및 외대앞역 초역세권 프리미엄.,월 70만원,중,1호선 외대앞역 도보 4분,"이문초, 외대/경희대 상권 결합",초등 신설 계획으로 학부모 관심 집중.,"재산세: 7/16~31, 9/16~30",사업시행인가 완료 확인,정보없음,정보없음,정보없음,정보없음
